"Variables ->","GDP","CPI_U","S","RS","GDP_RW","CPI_RW","RS_RW","D4L_CPI_TAR","CPI","L_CPI","L_CPI_RW","L_CPI_U","L_GDP","L_GDP_RW","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_CPI_U","DLA_GDP","DLA_GDP_RW","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_CPI_U","D4L_GDP","D4L_GDP_RW","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP","E_DLA_CPI","MCI","OBS_D4L_CPI_TAR","OBS_DLA_CPI_RW","OBS_L_CPI","OBS_L_GDP","OBS_L_GDP_RW_GAP","OBS_L_S","OBS_RS","OBS_RS_RW","PREM","RMC","RSNEUTRAL","SHK_D4L_CPI_TAR","SHK_DLA_CPI","SHK_DLA_CPI_RW","SHK_DLA_GDP_BAR","SHK_DLA_Z_BAR","SHK_L_GDP_GAP","SHK_L_GDP_RW_GAP","SHK_L_S","SHK_RR_BAR","SHK_RR_RW_BAR","SHK_RS","SHK_RS_RW","a1","a2","a3","b1","b2","b3","b4","e1","g1","g2","g3","rho_D4L_CPI_TAR","rho_DLA_CPI_RW","rho_DLA_GDP_BAR","rho_DLA_Z_BAR","rho_L_GDP_RW_GAP","rho_RR_BAR","rho_RR_RW_BAR","rho_RS_RW","ss_D4L_CPI_TAR","ss_DLA_CPI_RW","ss_DLA_GDP_BAR","ss_DLA_Z_BAR","ss_RR_BAR","ss_RR_RW_BAR","std_SHK_D4L_CPI_TAR","std_SHK_DLA_CPI","std_SHK_DLA_CPI_RW","std_SHK_DLA_GDP_BAR","std_SHK_DLA_Z_BAR","std_SHK_L_GDP_GAP","std_SHK_L_GDP_RW_GAP","std_SHK_L_S","std_SHK_RR_BAR","std_SHK_RR_RW_BAR","std_SHK_RS","std_SHK_RS_RW","ttrend"
"2005Q1",7.57727000e+05,8.10700000e+01,2.99500000e+01,2.29000000e+00,2.01495700e+06,9.90000000e+01,2.14000000e+00,3.30000000e+00,8.08519465e+01,4.39261966e+02,5.71054172e+01,4.39531298e+02,1.35380784e+03,1.45161084e+03,3.39952932e+02,-4.22036168e+01,2.88560000e-02,1.49775007e+00,3.26977298e+00,6.13072000e+00,9.36997464e-01,-6.88530800e+00,-5.41641393e+00,1.60656200e+00,2.06150785e+00,1.59147957e+00,6.06608000e+00,1.47177158e+00,-9.21179600e+00,-8.75685067e+00,1.17001372e+00,6.42249930e-01,5.44357535e-01,6.25656185e-01,-4.44281782e+01,2.22456140e+00,6.85133808e-01,-4.28838784e-02,-3.17802329e+00,-1.28115446e+00,1.35508899e+03,5.16163467e+00,1.45291834e+03,-1.30749885e+00,1.45287669e+03,-1.26585311e+00,2.10509120e-01,-2.29409090e-01,3.30000000e+00,1.49775007e+00,4.39261966e+02,1.35380784e+03,-1.26585311e+00,3.39952932e+02,2.29000000e+00,2.14000000e+00,2.70164236e+00,-2.29439702e-01,1.66434382e+00,6.50000000e-01,-1.59127720e+00,-3.98187610e-01,5.81635872e-01,-3.46863742e-01,5.01690002e-01,-4.42179526e-01,-1.13594466e+00,1.78098992e-03,9.54726234e-03,3.52369073e-01,-2.45767757e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00000000e+01
"2005Q2",7.73140000e+05,8.13900000e+01,3.00300000e+01,1.85000000e+00,2.02879750e+06,9.96500000e+01,2.12000000e+00,3.20000000e+00,8.12155568e+01,4.39710682e+02,5.77598368e+01,4.39925242e+02,1.35582154e+03,1.45229538e+03,3.40219688e+02,-4.17311572e+01,1.79486400e+00,2.61767861e+00,1.57577454e+00,8.05480000e+00,2.73815911e+00,1.06702400e+00,1.88983861e+00,1.51607500e+00,1.98648470e+00,1.54773101e+00,6.89282000e+00,1.60735011e+00,-5.60107600e+00,-5.13066545e+00,3.20332296e-01,-4.97678610e-01,4.98165504e-01,-1.77833208e-01,-4.52234084e+01,3.49225119e+00,6.82451618e-01,-1.18013023e+00,-3.18092055e+00,-5.53916968e-01,1.35637546e+03,5.14585003e+00,1.45337253e+03,-1.07714948e+00,1.45334854e+03,-1.05316193e+00,2.00513882e+00,-1.17215860e+00,3.20000000e+00,2.61767861e+00,4.39710682e+02,1.35582154e+03,-1.05316193e+00,3.40219688e+02,1.85000000e+00,2.12000000e+00,2.66045033e+00,6.59933479e-01,2.02783321e+00,5.50000000e-01,1.04113646e+00,1.01947855e+00,5.16542295e-01,-3.38501917e-01,6.45939984e-01,-4.04794420e-02,5.62937258e-01,-3.73205242e-02,-1.56554290e-02,-2.93492399e-01,-2.52026046e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.10000000e+01
"2005Q3",7.84625000e+05,8.19400000e+01,2.95500000e+01,1.79000000e+00,2.04146350e+06,1.00450000e+02,2.13000000e+00,3.10000000e+00,8.18843038e+01,4.40530732e+02,5.85594413e+01,4.40598727e+02,1.35729612e+03,1.45291775e+03,3.38608374e+02,-4.33629167e+01,3.28020000e+00,3.19841784e+00,2.69394271e+00,5.89832000e+00,2.48947984e+00,-6.44525600e+00,-6.52703816e+00,1.84843300e+00,2.29594216e+00,1.84757072e+00,6.73374000e+00,1.85921311e+00,-6.89703100e+00,-6.44952187e+00,-3.06733354e-01,-1.06841784e+00,4.21362367e-01,-7.28095721e-01,-4.60169508e+01,2.65403403e+00,7.08858406e-01,-1.77727625e+00,-3.17416954e+00,-3.49970883e-01,1.35764609e+03,5.08253566e+00,1.45382022e+03,-9.02470707e-01,1.45381899e+03,-9.01236225e-01,3.28301342e+00,-1.30587721e+00,3.10000000e+00,3.19841784e+00,4.40530732e+02,1.35729612e+03,-9.01236225e-01,3.38608374e+02,1.79000000e+00,2.13000000e+00,2.55183959e+00,5.51230592e-01,2.51809572e+00,5.00000000e-01,9.28645057e-01,7.04274952e-01,4.65855634e-01,-3.29433101e-01,1.52017640e-01,-5.87066810e-02,2.08616921e-01,-7.71700361e-02,1.28971116e-02,-3.53399951e-01,-3.47455249e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.20000000e+01
"2005Q4",7.97968000e+05,8.23300000e+01,2.90100000e+01,2.11000000e+00,2.05501840e+06,1.00890000e+02,2.34000000e+00,3.00000000e+00,8.27938227e+01,4.41635345e+02,5.89965136e+01,4.41073556e+02,1.35898238e+03,1.45357954e+03,3.36764060e+02,-4.58747714e+01,4.41845200e+00,1.74828926e+00,1.89931568e+00,6.74504000e+00,2.64713963e+00,-7.37725600e+00,-1.00474187e+01,2.38059300e+00,2.26553395e+00,2.35970148e+00,6.70722000e+00,2.20294401e+00,-4.91019900e+00,-5.02525908e+00,-1.29306731e+00,5.91710740e-01,3.54267350e-01,-1.64733466e+00,-4.68093791e+01,9.34607645e-01,7.64406830e-01,-1.72696090e-01,-3.16971319e+00,8.91279858e-02,1.35889325e+03,4.98864453e+00,1.45425737e+03,-6.77834188e-01,1.45428463e+03,-7.05090545e-01,4.11875325e+00,-1.43351656e+00,3.00000000e+00,1.74828926e+00,4.41635345e+02,1.35898238e+03,-7.05090545e-01,3.36764060e+02,2.11000000e+00,2.34000000e+00,2.42563107e+00,3.42771884e-01,3.75733466e+00,4.50000000e-01,8.18131648e-01,-1.21044501e+00,4.22615998e-01,-3.30377553e-01,2.91594997e-01,1.58984350e-02,3.13875399e-01,-8.28225438e-02,4.73201058e-02,-4.77552089e-01,1.33460782e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.30000000e+01
"2006Q1",8.15217000e+05,8.33700000e+01,2.86000000e+01,2.07000000e+00,2.07349280e+06,1.01300000e+02,2.61000000e+00,3.00000000e+00,8.31592693e+01,4.42075768e+02,5.94020733e+01,4.42328853e+02,1.36112096e+03,1.45447451e+03,3.35340672e+02,-4.73330227e+01,1.76169200e+00,1.62223873e+00,5.02118844e+00,8.55432000e+00,3.57989065e+00,-5.69355200e+00,-5.83300527e+00,2.81380200e+00,2.29665611e+00,2.79755534e+00,7.31312000e+00,2.86366731e+00,-4.61226000e+00,-5.12940607e+00,-7.80015803e-01,9.87761270e-01,2.96232741e-01,-1.07624854e+00,-4.76038724e+01,2.70849644e-01,8.22040714e-01,1.65720556e-01,-3.17797327e+00,1.01884818e+00,1.36010211e+03,4.83543923e+00,1.45467937e+03,-2.04859480e-01,1.45474150e+03,-2.66988127e-01,1.93971921e+00,-8.34628874e-01,3.00000000e+00,1.62223873e+00,4.42075768e+02,1.36112096e+03,-2.66988127e-01,3.35340672e+02,2.07000000e+00,2.61000000e+00,2.31657064e+00,7.94448619e-01,3.14624854e+00,5.00000000e-01,-2.07202989e+00,-1.76392678e-01,3.44523605e-01,-3.42202717e-01,8.30651192e-01,2.97084309e-01,-2.36421692e-01,-8.71811392e-02,6.05152497e-02,-4.90976102e-01,2.49144111e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.40000000e+01
"2006Q2",8.28501000e+05,8.37800000e+01,2.85000000e+01,2.13000000e+00,2.09700900e+06,1.02090000e+02,2.89000000e+00,3.00000000e+00,8.35608016e+01,4.42557453e+02,6.01789099e+01,4.42819432e+02,1.36273733e+03,1.45560226e+03,3.34990409e+02,-4.73881341e+01,1.92674000e+00,3.10734637e+00,1.96231324e+00,6.46548000e+00,4.51100618e+00,-1.40105200e+00,-2.20445630e-01,2.84677100e+00,2.41907305e+00,2.89419002e+00,6.91579000e+00,3.30687908e+00,-5.22927900e+00,-5.65697783e+00,-4.74336637e-01,-2.17346370e-01,2.43291109e-01,-7.17627745e-01,-4.84043871e+01,1.01625294e+00,8.44764704e-01,-1.06211107e+00,-3.20205882e+00,1.49195642e+00,1.36124537e+03,4.57304702e+00,1.45508118e+03,5.21075820e-01,1.45518519e+03,4.17066793e-01,2.31046255e+00,-8.07215304e-01,3.00000000e+00,3.10734637e+00,4.42557453e+02,1.36273733e+03,4.17066793e-01,3.34990409e+02,2.13000000e+00,2.89000000e+00,2.26017346e+00,1.34924538e+00,2.84762775e+00,5.00000000e-01,-2.69432240e-01,1.40955539e+00,2.04695639e-01,-3.59680207e-01,2.26179893e-01,6.30657295e-01,5.51562685e-01,-9.36950838e-02,3.71321327e-02,-4.64467729e-01,1.15777852e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.50000000e+01
"2006Q3",8.41804000e+05,8.43500000e+01,2.83300000e+01,2.38000000e+00,2.11034200e+06,1.02630000e+02,3.22000000e+00,3.00000000e+00,8.42994303e+01,4.43437511e+02,6.07064609e+01,4.43497481e+02,1.36433025e+03,1.45623606e+03,3.34392131e+02,-4.83389191e+01,3.52023200e+00,2.11020419e+00,2.71219739e+00,6.37168000e+00,2.53519036e+00,-2.39311200e+00,-3.80313981e+00,2.90677900e+00,2.14701964e+00,2.89875369e+00,7.03413000e+00,3.31830671e+00,-4.21624300e+00,-4.97600179e+00,-3.47601222e-01,1.10979581e+00,2.04071191e-01,-5.51672413e-01,-4.92126316e+01,8.73712477e-01,8.75791528e-01,2.34004282e-01,-3.23297795e+00,2.01078957e+00,1.36231946e+03,4.29634743e+00,1.45545766e+03,7.78398191e-01,1.45561114e+03,6.24912882e-01,3.70174089e+00,-6.48284432e-01,3.00000000e+00,2.11020419e+00,4.43437511e+02,1.36433025e+03,6.24912882e-01,3.34392131e+02,2.38000000e+00,3.22000000e+00,2.21466202e+00,1.66966644e+00,2.93167241e+00,5.00000000e-01,7.27058445e-01,-7.75672906e-01,1.37909815e-01,-3.71330892e-01,3.10282657e-01,2.91259448e-01,1.04838702e+00,-9.05616959e-02,4.99797649e-02,-4.86091558e-01,3.10800856e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.60000000e+01
"2006Q4",8.52859000e+05,8.35600000e+01,2.75000000e+01,2.62000000e+00,2.13327760e+06,1.02670000e+02,3.59000000e+00,3.00000000e+00,8.40665693e+01,4.43160898e+02,6.07454283e+01,4.42556494e+02,1.36563495e+03,1.45731701e+03,3.31418600e+02,-5.09968697e+01,-1.10645200e+00,1.55869461e-01,-3.76394892e+00,5.21880000e+00,4.32382268e+00,-1.18941240e+01,-1.06318025e+01,1.52555300e+00,1.74891469e+00,1.48293754e+00,6.65257000e+00,3.73747747e+00,-5.34546000e+00,-5.12209694e+00,1.64219278e+00,3.43413054e+00,1.57849096e-01,1.48434368e+00,-5.00308848e+01,-9.65984941e-01,9.14153596e-01,2.51997694e+00,-3.27301287e+00,2.31449686e+00,1.36332045e+03,4.00397082e+00,1.45580396e+03,1.51305331e+00,1.45601504e+03,1.30197301e+00,-4.29291115e-01,1.32883606e+00,3.00000000e+00,1.55869461e-01,4.43160898e+02,1.36563495e+03,1.30197301e+00,3.31418600e+02,2.62000000e+00,3.59000000e+00,2.16210580e+00,1.33035232e+00,1.13565632e+00,5.00000000e-01,-3.70789753e+00,-1.93229389e+00,6.68928716e-02,-3.86630512e-01,4.53529522e-01,8.02042704e-01,-1.50970461e+00,-1.05407857e-01,6.35203733e-02,5.14040922e-01,7.99995389e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.70000000e+01
"2007Q1",8.72262000e+05,8.44400000e+01,2.80000000e+01,2.58000000e+00,2.15024680e+06,1.03210000e+02,3.82000000e+00,3.00000000e+00,8.42142098e+01,4.43336367e+02,6.12700069e+01,4.43604122e+02,1.36788451e+03,1.45810932e+03,3.33220451e+02,-4.88459091e+01,7.01876000e-01,2.09831451e+00,4.19051452e+00,8.99824000e+00,3.16921996e+00,7.20740400e+00,8.60384251e+00,1.26059900e+00,1.86793363e+00,1.27526906e+00,6.76355000e+00,3.63480979e+00,-2.12022100e+00,-1.51288636e+00,1.39241723e+00,1.72168549e+00,6.63685324e-02,1.32604869e+00,-5.08590122e+01,2.01310314e+00,8.58633946e-01,8.63051544e-01,-3.31250982e+00,3.64705777e+00,1.36423745e+03,3.66799638e+00,1.45611574e+03,1.99357955e+00,1.45639296e+03,1.71635869e+00,1.63467509e+00,3.24303144e-01,3.00000000e+00,2.09831451e+00,4.43336367e+02,1.36788451e+03,1.71635869e+00,3.33220451e+02,2.58000000e+00,3.82000000e+00,2.15774244e+00,3.15687138e+00,1.25395131e+00,5.00000000e-01,3.54615597e-01,1.57361894e+00,-3.51802729e-02,-3.94099519e-01,1.03457188e+00,6.74780282e-01,1.89266379e+00,-1.59910745e-01,-2.26889307e-02,-2.05192808e-01,3.56610309e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.80000000e+01
"2007Q2",8.72035000e+05,8.55600000e+01,2.87200000e+01,2.77000000e+00,2.16028430e+06,1.04030000e+02,4.06000000e+00,3.00000000e+00,8.53068961e+01,4.44625530e+02,6.20613641e+01,4.44921788e+02,1.36785848e+03,1.45857504e+03,3.35759374e+02,-4.68047919e+01,5.15665200e+00,3.16542860e+00,5.27066449e+00,-1.04120000e-01,1.86288286e+00,1.01556920e+01,8.16446860e+00,2.06807700e+00,1.88245419e+00,2.10235687e+00,5.12115000e+00,2.97277896e+00,7.68965000e-01,5.83343167e-01,1.82238152e-01,8.94571400e-01,-1.21824575e-01,3.04062726e-01,-5.16948127e+01,4.89002078e+00,8.18871768e-01,7.56996316e-02,-3.34320196e+00,2.79011666e+00,1.36506836e+03,3.32364442e+00,1.45638959e+03,2.18544482e+00,1.45674180e+03,1.83324286e+00,5.59897139e+00,-1.25416233e+00,3.00000000e+00,3.16542860e+00,4.44625530e+02,1.36785848e+03,1.83324286e+00,3.35759374e+02,2.77000000e+00,4.06000000e+00,2.03386523e+00,3.42008790e+00,2.46593727e+00,5.00000000e-01,2.30162980e+00,1.08677699e+00,-1.10752680e-01,-3.93194108e-01,-1.42039968e+00,4.60155908e-01,4.20732194e+00,-2.74919400e-01,-1.80353883e-02,-6.38873287e-01,2.07139926e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.90000000e+01
"2007Q3",8.85874000e+05,8.62100000e+01,2.76100000e+01,3.27000000e+00,2.17304450e+06,1.04580000e+02,4.50000000e+00,3.00000000e+00,8.61628777e+01,4.45623943e+02,6.25886650e+01,4.45678618e+02,1.36943300e+03,1.45916397e+03,3.31817803e+02,-5.12174750e+01,3.99365200e+00,2.10920387e+00,3.02731840e+00,6.29808000e+00,2.35573850e+00,-1.57662840e+01,-1.76507321e+01,2.18643200e+00,1.88220411e+00,2.18113712e+00,5.10275000e+00,2.92791600e+00,-2.57432800e+00,-2.87855719e+00,-2.94520104e-01,2.39079613e+00,-2.56326327e-01,-3.81937769e-02,-5.25416227e+01,1.32414774e+00,8.50870078e-01,1.53992605e+00,-3.38723998e+00,3.58444773e+00,1.36584855e+03,3.12075574e+00,1.45662337e+03,2.54060279e+00,1.45705952e+03,2.10445750e+00,4.40590042e+00,-4.23979967e-01,3.00000000e+00,2.10920387e+00,4.45623943e+02,1.36943300e+03,2.10445750e+00,3.31817803e+02,3.27000000e+00,4.50000000e+00,1.90259558e+00,2.90635773e+00,3.30819378e+00,5.00000000e-01,-1.51904607e+00,-8.23139010e-01,-3.81597988e-02,-4.12678412e-01,1.72931657e-01,6.37863212e-01,7.19860307e-01,-2.58866668e-01,4.57726633e-02,-4.88870913e-01,6.59985210e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.00000000e+01
"2007Q4",8.99221000e+05,8.73100000e+01,2.66200000e+01,3.78000000e+00,2.18174490e+06,1.05620000e+02,4.72000000e+00,3.00000000e+00,8.78771828e+01,4.47594019e+02,6.35782069e+01,4.46946500e+02,1.37092841e+03,1.45956355e+03,3.28166281e+02,-5.58495311e+01,7.88030400e+00,3.95816741e+00,5.07152944e+00,5.98164000e+00,1.59831593e+00,-1.46060880e+01,-1.85282246e+01,4.43312100e+00,2.83277860e+00,4.39000671e+00,5.29346000e+00,2.24653931e+00,-3.25231900e+00,-4.85266192e+00,-2.39530409e+00,7.61832590e-01,-3.86635726e-01,-2.00866836e+00,-5.33984375e+01,-2.45109366e+00,8.42898386e-01,-8.10657960e-02,-3.42725896e+00,4.35765908e+00,1.36657075e+03,2.88879460e+00,1.45681628e+03,2.74727351e+00,1.45734523e+03,2.21832111e+00,7.67060835e+00,-6.70739753e-01,3.00000000e+00,3.95816741e+00,4.47594019e+02,1.37092841e+03,2.21832111e+00,3.28166281e+02,3.78000000e+00,4.72000000e+00,1.81227306e+00,2.31503325e+00,5.78866836e+00,5.00000000e-01,2.32055844e+00,1.87080431e+00,-1.07809991e-01,-4.17466977e-01,1.79718414e-01,5.34755110e-01,1.20656093e+00,-2.81574664e-01,1.22023236e-02,-1.52019932e+00,1.59786841e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10000000e+01
"2008Q1",9.02977000e+05,9.06300000e+01,2.53400000e+01,3.98000000e+00,2.19449320e+06,1.06680000e+02,4.48000000e+00,3.00000000e+00,9.03793050e+01,4.50401531e+02,6.45768021e+01,4.50678528e+02,1.37134524e+03,1.46014617e+03,3.23238417e+02,-6.25863119e+01,1.12300480e+01,3.99438081e+00,1.49281121e+01,1.66732000e+00,2.33046480e+00,-1.97114560e+01,-2.69471232e+01,7.06516400e+00,3.30679517e+00,7.07440611e+00,3.46073000e+00,2.03685052e+00,-9.98203400e+00,-1.37404028e+01,-4.31906644e+00,4.85619190e-01,-4.59350251e-01,-3.85971619e+00,-5.42620242e+01,-8.32428771e+00,8.60733235e-01,-3.75114045e-01,-3.45434701e+00,4.10841898e+00,1.36723682e+03,2.66428037e+00,1.45696912e+03,3.17705155e+00,1.45759937e+03,2.54679929e+00,1.00922618e+01,-2.04515019e-01,3.00000000e+00,3.99438081e+00,4.50401531e+02,1.37134524e+03,2.54679929e+00,3.23238417e+02,3.98000000e+00,4.48000000e+00,1.74339412e+00,3.78606976e-01,7.83971619e+00,5.00000000e-01,2.61043528e+00,4.27846882e-01,-1.46755313e-01,-4.12539839e-01,-7.12462427e-01,7.72142402e-01,5.00679381e-01,-2.50041670e-01,3.64145265e-02,-2.44150655e+00,-2.67022809e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.20000000e+01
"2008Q2",9.14181000e+05,9.13200000e+01,2.39000000e+01,4.15000000e+00,2.18572270e+06,1.07810000e+02,4.86000000e+00,3.00000000e+00,9.09954788e+01,4.51080982e+02,6.56304740e+01,4.51436982e+02,1.37257839e+03,1.45974571e+03,3.17387846e+02,-6.80626620e+01,2.71780400e+00,4.21468769e+00,3.03381504e+00,4.93260000e+00,-1.60184099e+00,-2.34022840e+01,-2.19054003e+01,6.45545200e+00,3.56910995e+00,6.51519374e+00,4.71991000e+00,1.17066956e+00,-1.83715280e+01,-2.12578711e+01,-1.94885665e+00,6.45312310e-01,-3.21797225e-01,-1.62705943e+00,-5.51338677e+01,-1.29287943e+01,9.17959148e-01,-2.72646838e-01,-3.48737396e+00,4.72637599e+00,1.36785201e+03,2.46077198e+00,1.45708440e+03,2.66130791e+00,1.45782374e+03,1.92196467e+00,2.56727061e+00,2.73969669e+00,3.00000000e+00,4.21468769e+00,4.51080982e+02,1.37257839e+03,1.92196467e+00,3.17387846e+02,4.15000000e+00,4.86000000e+00,1.85014279e+00,-5.70175096e-01,5.77705943e+00,5.00000000e-01,-5.79937576e+00,6.19183042e-01,-1.70652319e-01,-4.23896352e-01,1.30056748e+00,-1.15474762e-01,-3.87869865e+00,-5.43170237e-02,7.93725595e-02,-1.12815383e+00,2.49470632e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.30000000e+01
"2008Q3",9.15398000e+05,9.19300000e+01,2.46700000e+01,3.91000000e+00,2.17246210e+06,1.08600000e+02,4.98000000e+00,3.00000000e+00,9.19235689e+01,4.52095746e+02,6.63605729e+01,4.52102742e+02,1.37271142e+03,1.45913717e+03,3.20558793e+02,-6.51763801e+01,4.05905600e+00,2.92039558e+00,2.66303849e+00,5.32120000e-01,-2.43415854e+00,1.26837880e+01,1.15451276e+01,6.47180300e+00,3.77190787e+00,6.42412377e+00,3.27842000e+00,-2.68047000e-02,-1.12590100e+01,-1.39589044e+01,-1.56514426e+00,2.05960442e+00,-9.93090650e-02,-1.46583520e+00,-5.60122884e+01,-9.16409171e+00,8.53529892e-01,1.20607453e+00,-3.51368278e+00,4.33388498e+00,1.36837754e+03,2.10208406e+00,1.45716663e+03,1.97053869e+00,1.45802176e+03,1.11540886e+00,3.89366906e+00,1.72314287e+00,3.00000000e+00,2.92039558e+00,4.52095746e+02,1.37271142e+03,1.11540886e+00,3.20558793e+02,3.91000000e+00,4.98000000e+00,2.15810727e+00,2.84491971e-01,5.37583520e+00,5.00000000e-01,9.31594089e-01,-8.51354572e-01,-3.66533520e-01,-4.23783615e-01,5.12022615e-01,-4.22162876e-01,2.90332172e-01,5.81287148e-02,-3.08374264e-02,-1.45588529e+00,3.37214906e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.40000000e+01
